S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
168,Aptech,295.65,1223.69,1.69,3.01,1772.22,56,185.86,23.17,234.04,17.27,52.62,3.01,5.82,18.49,16.56,23.26
169,Lancer Containe.,406.05,1223.88,0,11.86,366.93,205.3,102.97,42.49,699.46,8.62,36.44,11.86,17.37,17.33,22.24,33.59
170,Ugro Capital,175.7,1239.73,0,7.34,331.76,118.77,131.57,7.02,374.77,52.47,20.2,7.34,1.28,0.63,25.34,61.37
171,Guj Inds. Power,82.25,1244.03,3.04,26.63,-50.09,252.28,-21.67,7.99,1109.29,36.39,172.07,26.63,0.4,4.02,21.88,7.23
172,TTK Healthcare,884.15,1249.33,1.13,600.86,9914.33,192.62,12.78,14.63,716.37,4.56,634.67,600.86,3.79,7.5,27.89,1.97
173,JSW Ispat Speci.,26.65,1251.34,0,-209.1,-466.97,757.5,-47.3,6.79,5583.1,2.42,-326.42,-209.1,2.22,0.06,10.25,
174,Igarashi Motors,398.55,1254.44,0,-4.2,-212,142.61,-3.9,1.78,550.61,6.73,-6.76,-4.2,2.86,0.17,23.46,
175,Imagica. Enter.,30.8,1264.2,0,532.27,157.78,88.86,4456.92,-16.53,158.96,49.6,-126.29,43.13,,-27.01,29.1,
176,Gulshan Polyols,243.25,1264.3,0.82,10.19,-61.09,270.18,13.25,22.93,1132.35,11.34,69.39,10.19,2.24,12.88,26.53,18.22
177,Cressanda Solns.,31.75,1265.22,0,0.72,380,18.39,91850,0.04,18.55,1.13,0.19,0.24,39.44,0,27.72,6659.05
178,Shriram Properti,74.5,1266.23,0,10.47,123.95,122.17,189.98,9.49,512.93,19.08,63.22,8.8,1.12,0.5,34.22,20.03
179,Kingfa Science,1049.3,1270.75,0,2.47,-78.92,345.87,55.64,16.33,1171.36,5.96,38.05,2.47,3.3,6.13,28.38,33.4
180,India Power Corp,13.05,1270.8,0.38,3.18,1.92,143.71,21.99,2.56,585.95,-2.67,16.21,3.18,0.92,0.42,21.88,78.4
181,TARC Ltd,43.25,1276.29,0,9.31,392.77,67.91,158.7,-5.3,292.22,-45.46,-219.61,9.31,0.96,-7.18,30.9,
182,Banco Products,179,1280.18,11.17,34.59,-24.64,585.52,16.92,23.54,2043.45,13.05,141.11,34.59,1.3,11.3,23.46,9.07
183,Oriental Hotels,71.85,1283.24,0,8.05,207.33,88.8,69.66,0.58,319.79,24.83,27.23,8.05,2.69,-2.61,49.29,47.13
184,KDDL Ltd,1012.35,1289.44,0.3,18.07,409.65,247.27,77.89,17.32,924.51,14.3,42.53,13.2,5.12,5.54,34.58,30.32
185,Kalyani Steels,295.75,1291.24,3.38,73.46,-7.83,448.8,18.97,22.68,1706.03,19.84,244.05,69.64,0.94,12.67,16.03,5.29
186,Foseco India,2029.4,1296.79,1.23,10.56,67.35,99.75,32.88,22.18,372.92,14.43,39.87,10.56,6.01,11.68,26.53,32.53
187,Rane Holdings,910.75,1300.55,1.32,20.6,626.4,817.14,56.94,4.43,2973.77,5.72,25.35,20.05,1.68,0.63,25.34,51.31
188,GOCL Corpn.,262.5,1301.28,1.14,125.05,429.42,236.66,66.92,4.77,593.04,-4.19,153.9,125.05,1.13,2.04,26.53,8.46
189,WPIL,1332.75,1301.71,0.75,30.24,120.7,299.21,32.93,20.28,1255.41,18.86,110.74,24.52,2.05,7.12,23.67,11.75
190,NxtDigital,388,1306.46,1.03,-46.36,-70.46,245.22,-9.4,2.04,1044.36,14.19,-33.66,-47.78,5.28,-0.36,50.99,
