S.No.,Name,CMP Rs.,P/E,Mar Cap Rs.Cr. ,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,Sales Rs.Cr.,OPM %,PAT 12M Rs.Cr.,PAT Qtr Rs.Cr.,CMP / BV,ROA 12M %,Ind PE
575,NOCIL,257.65,4293.04,1.16,66.48,40.22,508.9,47.72,17.63,1735.71,18.15,195.18,66.48,2.97,10.22,26.53,22
576,Bharat Rasayan,10577.4,4395.19,0.01,38.61,-1.3,327.4,30.02,28.42,1376.75,18.15,179.54,39.4,5.7,18.01,31.39,24.48
577,La Opala RG,396.2,4397.82,0.58,20.08,126.64,82.15,155.36,17.41,372.68,39.02,103.73,20.08,5.94,11.31,32.53,42.4
578,G M D C,138.5,4404.3,3.1,151.22,273.75,538.92,19.26,16.72,3476.15,35.47,822.98,151.22,0.86,7.43,9.79,5.35
579,Nazara Technolo.,669.5,4410.54,0,17.4,-4.74,263.8,103.55,8.11,847.8,10.12,33.91,9.91,4,4.09,27.72,130.08
580,JSW Holdings,3986.5,4425.02,0,13.14,23.03,18.8,20.2,1.12,189.31,96.92,137.06,13.14,0.22,0.74,25.34,32.29
581,Arvind Fashions.,333.55,4428.38,0,8.17,104.62,920.32,188.28,0.8,3657.12,6.79,-78.96,8.17,5.89,-6.91,82.87,
582,Jamna Auto Inds.,111.2,4432.69,1.35,37.43,92.05,547.69,85.45,24.68,1970.23,12.74,158.74,37.43,6.47,12.84,23.46,27.92
583,Greenpanel Inds.,361.8,4436.66,0.41,77.6,160.93,464,50.49,29.74,1780.72,27.71,288.32,77.6,4.66,16.18,27.06,15.39
584,Mishra Dhatu Nig,238.05,4459.63,1.3,17.7,-5.9,114.93,0.76,19.45,860.36,31.36,175.2,17.7,3.75,6.73,16.03,25.45
585,Suprajit Engg.,324.5,4490.8,0.62,27.32,-10.78,645.18,78.41,17.29,2124.04,12.46,160.28,27.32,4.14,9.45,23.46,28.02
586,NCC,71.65,4498.52,2.79,137.4,159.54,3321.35,60.89,12.94,12395.01,9.03,389.51,129.64,0.78,2.42,34.22,11.55
587,Minda Corp,189.55,4531.75,0.53,52.49,638.26,1010.24,80.84,11.8,3427.55,10.81,210.07,52.49,3.42,6.84,23.46,21.57
588,Rallis India,233.55,4541.82,1.28,71.05,25.89,951.18,30.69,13.56,2949.58,10,163.48,71.05,2.56,6.17,31.39,27.78
589,PC Jeweller,98.1,4565.61,0,74.43,213.49,547.42,121.83,-0.94,1906.77,-1.55,-251.01,74.43,1.17,-5.06,36.83,
590,MAS FINANC SER,845.2,4620.04,0.35,46.38,25.51,205.46,31.37,10.65,738.77,79.94,168.64,45.95,3.51,2.74,25.34,27.4
591,Varroc Engineer,307,4690.54,0,-84.15,63.3,1628.28,36.26,-18.17,7801.44,-4.12,-961.58,-84.15,2.36,-10.01,23.46,
592,HLE Glascoat,687.7,4694.62,0.15,13.02,-8.31,140.86,25.39,26.46,537.01,16.2,60.59,13.02,17.49,11.75,22.56,77.48
593,Vijaya Diagnost.,462.15,4716.88,0.22,17.56,-47.07,104.36,-14.94,28.3,444.05,42.06,94.16,17.45,10.06,17.54,31.71,50.09
594,Olectra Greentec,576.35,4730.72,0.07,16.68,1159.85,281.07,564.94,8.05,832.06,13.45,52.25,16.63,6.09,3.48,320.2,90.54
595,EKI Energy,1722.35,4735.77,0.29,106.98,199.66,508.11,162.81,236.09,2114.88,28.89,454.61,106.98,11.57,127.41,27.06,10.42
596,CMS Info Systems,307.95,4744.4,0,71.9,69.78,399.41,21.41,27.5,1478.1,27.27,243.02,71.9,3.89,12.9,27.72,19.52
597,Ujjivan Small,24.35,4759.22,0,202.94,186.92,905.37,41.1,2.32,3076.52,25.51,21.84,202.94,1.64,-1.88,16.15,217.91
598,Syrma SGS Tech.,273.25,4815.46,0,,,,,16.15,1266.65,10.16,76.3,,6.57,7.41,35.2,63.11
599,Rossari Biotech,876.15,4830.45,0.06,15.37,-22.84,233.74,14.61,18.05,1102.63,10.7,74.92,15.37,6.15,10.62,26.53,64.47
600,MTAR Technologie,1587.1,4881.85,0.19,16.43,88.63,91,68.42,15.67,358.98,29.26,68.61,16.43,9.39,9.05,34.41,71.15
601,JBM Auto,415.3,4910.8,0.24,25.93,111.73,865.03,58.2,13.54,3511.28,10.28,169.81,25.81,5.5,5.48,23.46,28.92
602,Zensar Tech.,217.55,4924.66,2.3,56.8,-39.83,1234.6,17.51,21.1,4694.3,12.02,352.8,56.8,1.78,11.41,27.72,13.96
603,FDC,292.25,4933.47,0,70.66,-27.78,494.66,10.55,15.28,1575.11,13.73,188.99,70.66,2.52,9.99,27.89,26.1
604,Borosil,431.85,4937.38,0,19.41,621.92,216.23,56.82,18.31,918.2,16.7,105.74,15.5,6.43,10.29,32.53,46.69
605,Team Lease Serv.,2902.6,4962.51,0,26.53,8.77,1879.39,36.51,16.56,6982.44,1.98,111.07,26.53,7.16,7.16,27.06,44.68
606,EPL Ltd,157.9,4987.6,2.72,35,-41.08,831.8,4.09,13.36,3465.5,15.79,190.62,34.12,2.73,7.08,13.21,26.17
607,Glenmark Life,408.3,5002.78,5.14,106.88,-7.22,509.3,-9.34,42.25,2035.73,28.43,418.22,106.88,2.33,18.77,27.89,11.96
608,Lux Industries,1667.85,5015.51,0.72,51.49,-20.53,563.86,35.95,34.1,2422.09,19.1,330.14,51.49,3.81,19.7,12.59,15.19
609,Mastek,1671.8,5027.91,1.14,86.2,-10.08,625.3,17.11,36.48,2328.99,19.47,295.71,65.01,4.15,13.54,27.72,17
610,Paradeep Phospha,61.75,5029.52,0,62.65,5.29,2434.66,85.01,15.17,7858.72,8.7,402.7,62.65,1.6,6.52,10.76,12.49
611,Rajratan Global,996.65,5060.09,0.2,23.31,-28.52,224.56,-6.89,39.71,945.39,19.6,127.65,23.31,13.29,23.55,16.03,39.64
612,Just Dial,601.7,5072.58,0,52.16,58.49,205.26,31.59,3.7,716.42,3.41,45.24,52.16,1.45,2.43,60.37,112.13
613,Garden Reach Sh.,443.35,5078.66,1.31,50.18,90.51,579.77,90.59,20.47,2033.09,8.49,219.12,50.18,4.04,2.51,22.31,23.18
614,Hinduja Global,1216.5,5084.38,11.22,73.27,-37.39,912.05,-41.18,2.56,3376.24,3.14,248.65,73.27,0.65,88.17,27.72,20.45
615,G S F C,127.7,5088.56,1.96,355.83,158.3,3061.39,63.48,12.58,10184.35,16.12,1108.97,355.83,0.44,7.11,10.76,4.59
616,PCBL Ltd,136.9,5167.46,3.65,126.29,20.9,1409.07,40.37,18.21,4851.64,14.12,447.84,126.21,1.98,9.85,26.53,11.54
617,MMTC,34.5,5175,0,-121.83,-66.45,1511.34,-69.18,18.64,8403.84,5.27,-144.34,-122.82,,-12.97,34.12,
618,Uflex,717.25,5179.26,0.42,374.65,41.84,4031.91,46.26,16.54,14390.39,16.56,1237.88,374.49,0.77,8.61,13.21,4.18
619,Esab India,3395.4,5225.52,1.77,25.6,25.8,243.47,34.38,44.49,955.09,13.06,89.56,25.6,21.4,20.31,23.99,58.35
620,VRL Logistics,592,5229.93,1.35,49.37,917.38,717.11,73.31,22.66,2697,17.89,215.53,49.37,8.03,12.17,22.24,24.27
621,Mah. Seamless,784.85,5258.47,0.64,176.59,94.26,1414.21,48.64,12.54,5306.97,14.89,523.3,176.58,1.31,7.29,16.03,10.05
622,JP Power Ven.,7.8,5345.7,0,75.42,5411.27,1385.37,53.6,7.41,6013.39,25.33,421.94,75.42,0.5,0.63,21.88,12.67
623,Tatva Chintan,2413.4,5349.32,0.08,9.8,-57.67,88.4,-17.25,25.74,415.22,23.37,82.53,9.8,11.31,19.71,26.53,64.82
624,Edelweiss.Fin.,56.85,5361.53,2.55,35.4,45.83,1189.61,-27.16,10,6467.81,41.54,197.08,26.38,0.82,0.48,25.34,27.2
625,Privi Speci.,1373,5363.31,0.15,20.51,-32.22,370.12,11.23,10.65,1428.82,13.45,88.21,20.51,6.65,5.35,26.53,60.8
626,Hindustan Foods,476.25,5369.37,0,14.89,46.7,598.02,30.85,16.31,2171.93,5.68,49.05,14.89,17.7,5.18,47.48,109.47
627,Polyplex Corpn,1718.9,5396.05,6.05,311.01,67.73,2032.58,41.16,29.05,7217.04,18.64,644.33,187.05,1.63,14.42,13.21,8.37
628,Sunteck Realty,369,5404,0.41,24.94,723.1,143.5,54.73,3.13,563.92,20.73,47,24.94,1.94,0.53,30.9,114.98
629,Jubilant Pharmo,339.7,5411.42,1.47,4.92,-158.1,1599.5,-3.5,9.69,5889.28,14.43,73.77,-82.87,0.99,4.47,23.98,73.36
630,Rolex Rings,2011,5476.62,0,49.72,63.98,286.78,26.13,31.48,1076.12,22.23,151.28,49.72,10.05,14.85,23.46,36.2
631,R C F,99.3,5478.28,1.36,299.6,158.79,4956.51,107.32,15.34,15377.98,7.91,794.3,299.6,1.41,6.69,10.76,6.9
632,VST Industries,3562.7,5500.81,3.93,87.14,23.71,300.97,9.3,42.44,1203.79,35.94,336.93,87.14,5.12,20.78,18.8,16.33
633,Swan Energy,208.6,5505.31,0.05,-49.5,-18.85,260.38,464.08,0.11,701.42,9.41,-91.61,-26.35,4.99,-2.79,25.44,
634,Kennametal India,2518.05,5534.23,0.95,28.3,30.41,268.6,26.76,25.1,990.7,18.14,113.47,28.3,8.72,14.34,22.56,48.77
635,Rain Industries,164.65,5538,0.61,707.55,184.1,5540.55,52.07,11.87,17852.15,17.45,1109.15,668.46,0.75,3.71,34.12,4.99
636,Apar Inds.,1447.15,5538.04,1.04,122.46,96.6,3093.23,70.93,26.87,10603.6,6.18,316.92,122.46,3.23,4.33,37.54,17.47
637,Mahindra Holiday,275.8,5544.86,0,29.82,239.06,604.85,63.09,7.92,2247.27,17.22,117.95,29.73,22.15,0.79,49.29,47.01
638,Jindal Worldwide,276.95,5553.41,0.04,41.71,120.69,639.26,21.9,19.25,2674,9.25,132.01,41.71,10.37,9.68,25.44,42.07
639,Reliance Power,16.35,5559.21,0,-12.32,-200.33,2062.97,2.44,5.01,7552.25,34.19,-534.14,-12.32,0.45,-1.11,21.88,
640,Religare Enterp.,174.3,5566.3,0,-76.2,69.95,950.51,47.71,-6.22,3525.09,-5.7,-1317.56,-75.99,,-16.98,25.34,
641,Sterling & Wils.,295.2,5599.75,0,-298.71,-4.43,312.69,-78.26,-65.81,4085.51,-30.09,-1199.57,-296.95,16,-25.43,11.58,
642,Vaibhav Global,340.75,5614.73,1.76,19.58,-72.63,628.27,-7.89,20.88,2698.66,8.6,161.94,19.58,4.96,13.81,36.83,34.67
643,Caplin Point Lab,740.85,5615.68,0.54,86.31,19.96,346.33,15.27,28.66,1315.3,30.73,313.98,84.99,4.43,19.85,26.32,17.89
644,Orient Electric,269.15,5725.33,0.74,18.95,278.24,621.63,47.19,33.74,2647.68,9.33,140.58,18.95,10.55,10.77,47.62,40.73
645,V-Mart Retail,2919.2,5770.79,0.03,20.45,171.23,587.88,231.37,5.21,2076.65,14.2,60.81,20.45,6.79,0.66,82.87,94.9
646,S C I,124,5775.92,0.27,98.57,-32.36,1464.94,42.53,8.47,5431.67,27.41,747.64,98.57,0.66,5.86,11.68,7.73
647,NBCC,32.3,5814,1.55,-4.85,137.29,1798.99,30.9,23.26,8148.13,3.06,315.33,84.31,3.29,2.18,30.9,18.44
648,Guj. Ambuja Exp,257,5893.92,0.25,114.6,0.68,1272.86,24.18,30.35,4918.17,13.96,476.2,114.6,2.77,19.22,49.73,12.38
649,Mah. Scooters,5156.75,5894.17,1.94,190.03,40.04,192.39,15.5,0.88,211.14,88.39,196.33,190.03,0.25,0.68,25.34,30.02
650,Delta Corp,220.5,5897.16,0.57,68.63,406.33,269.97,261.31,5.4,985.78,36.88,249.72,68.25,2.81,2.95,31.51,23.62
651,Welspun Corp,226.5,5923.3,2.21,-0.95,-100.98,1321.82,1.76,6.99,6080.84,5.46,357.95,-0.95,1.33,2.5,16.03,16.55
652,Equitas Sma. Fin,47.25,5923.6,0,97.01,713.16,940.4,14.83,7.23,3580.97,37.59,365.82,97.01,1.39,1.09,16.15,16.19
653,Restaurant Brand,120.1,5925.64,0,-50.89,17.98,489.22,64.38,-7.87,1490.27,6.48,-174.94,-47.5,5.69,-9.66,127,
654,Symphony,854.5,5977.83,1.05,32,6.67,274,24.55,17.17,1192,15.35,145,32,7.25,9.39,47.62,41.23
655,Transport Corp.,772.1,5985.44,0.78,78.58,65.86,902.91,29.7,22.96,3463.46,12.62,320.48,77.74,4.17,16.44,22.24,18.68
656,Sobha,633.75,6010.86,0.47,13.7,26.85,581.6,13.53,16.61,2800.2,32.19,119.7,13.7,2.39,0.84,30.9,50.22
657,TV18 Broadcast,35.1,6017.4,0,10.28,-95.96,1473.43,12.66,19.57,5801.78,12.19,383.3,5.69,1.25,10.65,50.99,15.7
658,Meghmani Fineche,1450.2,6025.6,0,91.57,94.79,555.53,63.57,29.05,2009.35,34.05,368.18,91.57,6.51,14.16,15.34,16.37
659,KNR Construct.,214.95,6045.14,0.12,90.53,-17.04,980.45,21.48,21.21,3779.19,21.36,336.13,89.61,2.61,7.54,34.22,17.98
660,Indiabulls Hous.,128.95,6081.24,0,286.64,1.76,2075.21,-10.58,9.57,8771.36,89.22,1182.95,286.64,0.36,1.34,23.07,5.14
661,Craftsman Auto,2881.9,6088.97,0.13,60.61,22.67,771.27,35.59,17.78,2653.04,23.15,204.39,60.61,4.88,6.32,23.46,29.79
662,Jindal Stain. Hi,258.5,6098.91,0,308.2,-14.05,3453.96,24.4,45.73,15688.84,13.25,1892.18,307.76,1.24,23.04,7.37,3.22
663,CEAT,1511.15,6112.62,0.2,8.68,-59.65,2818.38,47.84,6.35,10275.4,6.88,65.19,9.3,1.87,0.99,26.97,93.77
664,SIS,416.85,6134.95,0,82.54,39.22,2678.18,12.56,12.92,10357.97,4.8,348.16,82.43,2.96,6.46,27.06,17.62
665,Chemplast Sanmar,389.45,6157.58,0,40.59,223.49,1411.3,46.95,51.12,6342.91,19.55,713.07,93.23,3.69,12.57,26.53,8.64
666,Prism Johnson,123.15,6198.88,0,-16.01,-281.19,1811.17,38.08,8.45,6805.8,7.7,25.69,-16.01,4.69,0.59,24.61,241.3
667,Inox Leisure,508.1,6216.05,0,-40.37,53.95,374.12,688.62,-1.54,1570.57,33.45,-12.77,-40.37,8.76,-6.12,50.99,
668,Bombay Burmah,893.8,6236.21,0.13,0.47,-99.48,3779.52,8.95,17.99,14854.9,9.39,498.13,0.47,1.13,5.81,15.26,12.52
669,Mahindra Life.,403.7,6240.23,0.5,75.7,422.84,94.55,-36.21,0.54,339.89,-28.62,122.22,44.78,3.49,2.69,34.22,51.06
670,Prince Pipes,565.5,6252.23,0.62,16.03,-9.69,604.08,82.72,27.57,2930.31,14.27,247.67,16.03,4.94,14.19,28.38,25.24
671,Avanti Feeds,459.1,6255.04,1.36,73.11,-8.07,1569.3,11.39,17.28,5196.46,6.22,231.46,69.76,3.3,9.88,26.37,27.02
672,SPARC,230.45,6265.45,0,-82.35,-34.19,28.46,29.42,,143.72,-146.94,-224.38,-82.35,,-81.72,27.06,
673,GHCL,655.75,6268.04,1.52,355.25,197.71,1365.21,95.73,25.92,4446.07,27.98,849.58,305.48,2.03,14.45,26.53,7.38
674,JK Lakshmi Cem.,533.35,6275.93,0.94,115.07,-15.37,1654.14,24.79,18.74,5748.45,16.51,461.71,111.18,2.51,8.46,24.61,13.59
675,India Infr Trust,96,6374.4,,,,,,8.07,2591.99,75.77,529.51,,2.01,3.29,50.77,12.04
676,JM Financial,67.05,6401.79,2.46,198.38,-16.31,791.25,-19.74,11.97,3515.06,65.5,740.03,170.01,0.83,4.05,25.34,8.65
677,CCL Products,481.25,6401.97,1.04,52.74,20.3,509.28,56.16,15.65,1645.19,21.13,213.25,52.74,5.12,10.59,10.79,30.02
678,Apollo Tricoat,1057,6426.56,0,30.7,-35.63,793.57,36.44,44.67,2944.04,6.26,122.66,30.7,14.47,24,16.03,52.39
679,JK Paper,385.1,6523.68,1.43,264.23,151.9,1430.23,116.46,15.97,4738.04,25.96,700.57,261.98,2.2,7.48,15.15,9.31
680,eClerx Services,1286.9,6529.68,0.05,99.51,8.64,617.84,27.06,33.92,2291.93,28.92,424.9,99.2,4.16,20.45,27.72,15.37
681,Sterlite Tech.,164.8,6562.18,0.3,-23,-120.94,1575,20.3,5.53,6020.03,6.86,-73.87,-20,3.35,0.69,97.85,
682,Triven.Engg.Ind.,271.6,6566.07,1.2,66.45,-28.01,1225.67,18.22,21.08,4479.85,13.36,403.07,66.45,3.43,10.84,13.17,16.29
683,Gujarat Alkalies,896.6,6584.63,1.12,222.07,249.72,1128.33,57.49,13.5,4170.62,29.76,720.55,222.07,1.12,7.43,15.34,9.14
684,PNC Infratech,257.45,6604.6,0.19,240.66,104.31,2052.88,40.37,15.29,7798.41,21.67,704.84,240.66,1.82,5.51,34.22,9.37
685,Home First Finan,754.15,6617.18,0,54.27,20.95,189.4,29.6,9.4,666.51,75.94,211.65,54.27,3.93,3.87,23.07,31.26
686,BEML Ltd,1592.95,6633.04,0.63,-82.36,12.39,669.18,48.38,8.58,4527.67,6.97,140.23,-82.36,2.81,2.2,22.56,47.3
687,Lemon Tree Hotel,83.8,6639.03,0,13.57,133.82,192.04,355.61,1.2,552.13,37.37,-33.74,13.57,7.99,-3.69,49.29,
688,P & G Health Ltd,4003.25,6645.4,1.31,41.19,21.54,295.89,3.68,38.36,1114.41,24.02,192.52,41.19,10.78,20.48,36.61,34.52
689,RattanIndia Ent,48.2,6662.54,0,-216.3,-25928.92,689.47,68847,3.05,702.47,-33.13,338.64,-216.04,9.53,2.52,21.88,19.67
690,Netwrk.18 Media,63.7,6669.06,0,-28.84,-173.91,1548.89,11.65,33.8,6167.3,11.63,169.57,-28.84,9.25,9.65,7.72,39.33
691,Multi Comm. Exc.,1317.8,6720.78,1.32,63.27,93.72,127.4,53.14,10.58,432.2,47.14,192.36,63.27,4.7,4.33,27.06,34.94
692,Indigo Paints,1418.85,6749.33,0.21,19.91,71.49,223.99,43.56,18.74,973.94,15.51,92.35,19.91,10.39,9.72,62.59,73.08
693,Supreme Petroch.,721.45,6783.12,1,189.09,29.29,1485.39,41.76,66.18,5469.91,17.55,706.1,189.09,4.48,32.32,9.8,9.61
694,Kalpataru Power,455.65,6785.05,1.43,88,11.76,3677,14.76,13.43,15250,7.78,395.06,87.18,1.59,2.39,23.05,17.17
695,Balrampur Chini,333.15,6797.59,0.75,12.38,-83.91,1080.08,-5.29,16.09,4785.67,12.73,401.04,12.38,2.45,10.2,13.17,16.95
696,Ingersoll-Rand,2154.35,6800.85,0.93,32.11,22.14,273.23,40.67,29.58,988.92,16.16,115.97,32.11,12.32,14.39,46.21,58.64
697,BLS Internat.,331.25,6804.21,0.23,30.7,50.47,272.82,52.81,22.26,944.18,12.67,121.36,30.47,11.91,19.68,27.72,56.07
698,Cochin Shipyard,517.45,6806.56,3.24,48.91,51.52,439.72,33.48,18,3300.29,19.44,603.19,48.91,1.56,7.46,22.31,11.28
699,Rainbow Child.,672.75,6828.53,0.3,38.76,6.44,237.15,-3.74,22.6,973.76,31.62,137.77,38.19,10.69,11.63,31.71,49.56
700,Data Pattern,1332.8,6915.45,0.26,14.26,38.45,68.38,83.67,33.39,342,42.5,97.74,14.26,12.04,18.15,35.2,70.75
701,Intellect Design,511.5,6926.93,0.49,68.87,-6.73,541.3,32.56,24.84,2011.14,23.8,344.12,68.77,3.81,14.76,27.72,20.13
702,Birla Corpn.,899.9,6930.13,1.11,61.92,-49.64,2203.76,25.99,8.09,7915.87,12.96,350.57,71.27,1.15,3.14,24.61,19.77
703,Can Fin Homes,521.15,6939.33,0.58,141.71,14.62,657.48,40.56,7.21,2337.95,90.8,542.54,141.71,2.06,1.88,23.07,12.79
704,Graphite India,357.05,6975.89,2.8,24,-84,866,41.97,13.73,3282,10.76,379,24,1.41,8.53,13.19,18.41
705,Jindal Stain.,132.85,6981.21,0,329.37,6.13,5474.12,35.74,37.58,22734.37,12.91,1899.81,321.32,1.35,14.91,7.37,3.67
706,KSB,2025.65,7051.29,0.62,47.4,74.26,448.4,47.99,21,1678.8,13.34,166.1,47.4,6.68,9.5,23.67,42.45
707,Cera Sanitary.,5440.6,7075.98,0.37,39.63,206.73,395.75,77.59,21.89,1614.67,16.26,180.04,39.63,7.04,11.29,28.43,39.3
708,Medplus Health,595.5,7104.65,0,3.68,-93.1,993.65,4.03,11.36,3817.75,5.98,51.54,3.2,5.01,4.42,82.87,137.85
709,H U D C O,35.5,7106.75,9.86,411.71,1.76,1749.27,-2.29,9.16,6913.04,98.73,1723.55,411.71,0.49,2.2,23.07,4.12
710,C.E. Info System,1326.7,7118.44,0.15,24.19,17.48,65.01,49.97,21.08,222.1,43.42,90.65,24.19,15.84,13.59,27.72,78.53
711,Latent View,355.4,7123,0,31.48,41.1,119.94,36.56,17.48,439.92,29.4,119.03,31.48,6.94,13.65,27.72,59.84
712,Borosil Renew.,546.15,7123.96,0,30.11,-24,169.98,24.87,27.25,678.06,34.05,156.33,30.11,9.07,18.07,32.53,45.57
713,Garware Tech.,3456.05,7125.74,0.2,47.77,16.83,355.98,26.31,22.93,1324.92,17.48,167.91,47.77,6.88,11.95,25.44,42.44
714,Sonata Software,509.6,7145.22,3.09,112.71,23.63,1495.98,55.32,43.67,6596.49,8.13,419.04,112.71,6.15,16.55,27.72,17.05
715,Brightcom Group,35.6,7183.8,0.84,277.24,162.66,1480.61,126.38,29.42,5846.15,30.07,1083.9,277.24,1.36,18.95,27.72,6.63
716,Saregama India,373.4,7206.23,0.8,41.43,52.3,169.3,61.3,22.11,644.97,31.25,166.59,41.41,5.23,12.32,50.99,43.26
717,PNB Housing,427.65,7210.85,0,238.2,1.38,1404.34,-16.18,7.83,5870.08,85.38,825.16,238.2,0.74,1.2,23.07,8.74
718,Jyothy Labs,196.9,7230.34,1.27,47.73,18.73,597.2,13.67,12.91,2268.29,10.79,166.66,47.73,5.01,7.94,40.76,43.38
719,Amber Enterp.,2149.75,7243.31,0,-2.29,-130.82,750.44,27.74,8.54,5487.15,6.1,129.1,-2.29,4.05,2.67,47.1,56.11
720,TCI Express,1886.65,7271.28,0.42,31.01,30.51,290.44,30.29,35.52,1148.98,16.14,136.11,31.01,13.54,21.41,53.42,53.42
721,Karur Vysya Bank,90.95,7279.99,1.76,250.23,51.24,1579.48,12.99,5.06,5866.79,55.96,877.93,250.23,0.96,0.87,16.15,8.29
722,Firstsour.Solu.,104.15,7291.29,3.36,85.09,-36.35,1472.36,-0.84,16.59,5908.71,15.27,487.93,85.09,2.4,10.28,27.72,14.94
723,India Cements,236.35,7324.42,0.42,81.74,85.78,1514.35,44.88,3.2,5327.45,6.75,115.53,79.98,1.24,0.75,12.06,63.4
724,Go Fashion (I),1357.2,7330.1,0,24.44,228.63,165.2,432.9,11.98,535.52,33.25,79.04,24.44,16.72,5.37,25.44,92.74
725,GE Shipping Co,517.7,7391.06,1.91,457.04,3018.91,1366,77.59,7.46,4105.76,46.69,990.72,503.22,0.92,4.2,11.68,7.46
726,Godfrey Phillips,1423.45,7401.07,1.97,142.29,26.65,827.53,35.33,16.67,2903.63,23.67,467.96,142.29,2.53,9.57,18.8,15.82
727,F A C T,114.8,7428.39,0,136.99,244.2,1292.37,74.14,37.43,4975.03,13.96,539.53,136.99,39.23,11.5,10.76,13.77
728,Rail Vikas,36.1,7526.92,5.07,297.67,28.16,4640.75,19.94,16.79,20153.35,6.13,1248.08,297.67,1.18,6.94,34.22,6.03
729,Raymond,1134.4,7552.12,0.26,81.93,169.08,1728.14,109.29,13.19,7080.95,13.38,613.84,80.9,3.2,5.23,25.44,12.3
730,Shyam Metalics,296.55,7564.42,2.43,413.85,-9.64,3223.2,30.76,43.95,11152.13,22.59,1676.48,413.85,1.3,24.77,16.03,4.51
731,Finolex Cables,494.85,7568.2,1.21,119.6,37.63,1015.65,50.39,21.45,4108.43,11.62,631.84,119.6,1.93,14.31,28.82,11.98
732,Birlasoft Ltd,280.4,7632.64,1.6,115.05,11.45,1192.08,17.83,24.91,4519.84,15.12,482.64,115.05,3.27,14.42,27.72,15.81
733,T N Merc. Bank,483.15,7650.75,0,,,,,6.56,3833.86,61.4,821.9,,1.29,1.64,16.15,9.31
734,Astrazeneca Phar,3095.3,7738.25,0.32,20.15,96.78,232.33,32.46,16.43,862.53,11.42,71.5,20.15,15.13,7.3,36.61,108.23
735,Mahanagar Gas,783.65,7740.72,3.19,185.2,-9.25,1454.75,136.36,23.23,4399.46,20.59,578.08,185.2,2.15,12.14,10.76,13.39
736,Praj Industries,424.35,7794.17,0.64,48.13,44.4,876.58,64.64,22.96,3021.1,8.36,184.09,48.13,8.41,7.67,22.56,42.34
737,Welspun India,78.2,7856.95,0.19,21.36,-90.18,1957.25,-11.62,14.53,9090.14,12.09,430.9,21.36,1.98,6.81,25.44,18.23
738,BSE,583.2,7888.82,2.31,40.02,-22.85,186.84,3.9,14.96,803.54,31.37,233.08,40.02,2.97,5.02,27.06,33.85
739,Chalet Hotels,386.6,7926.26,0,15.74,238.11,247.84,93.35,0.04,813.04,31.18,20.17,14.8,5.7,-1.82,49.29,392.97
740,National High,109.74,7971.57,,,,,,2.52,139.61,73.1,61.96,,1.08,1.64,50.77,128.66
741,RBL Bank,133.25,7988.58,0,187.51,1829.12,2263.42,11.27,3.95,8773.28,32.46,682.55,187.51,0.64,-0.16,16.15,11.7
742,GMM Pfaudler,1823.65,7997.16,0.22,61.47,341.9,739.24,34,14.31,2728.13,12.67,126.97,44.51,15.19,2.95,22.56,62.98
743,Anupam Rasayan,752.3,8063.4,0.2,37.4,16.95,306.56,31.19,11.03,1138.88,28.93,156.2,37.4,4.37,5.83,26.53,51.62
744,Metropolis Healt,1588.75,8135.4,0.5,33.57,-47.26,279.86,-14.35,29.03,1181.43,26.15,172.7,33.4,9.17,16.12,31.71,47.11
745,Alok Industries,16.4,8142.99,0,-191.5,-127.68,1698.58,-10.82,4.1,7810.58,4.94,-359.93,-191.5,,-2.58,15.22,
746,Route Mobile,1307.75,8213.86,0.38,72.63,72.64,845.84,94.15,17.1,2763.69,11.03,232.24,72.63,4.94,9.26,27.72,35.37
747,Jubilant Ingrev.,519.35,8272.27,0.96,84.28,-23.93,1303.58,6.63,29.1,5051.63,12.84,361.32,84.28,3.24,13.52,26.53,22.89
748,Lloyds Metals,186.15,8278.45,0.27,142.71,45935.48,673.76,571.61,36.56,2017.92,27.9,555.33,142.71,46.95,19.27,10.25,14.91
749,Kama Holdings,12835.25,8278.74,1.26,609.57,53.8,3910.93,43.72,34.47,13692.18,25.76,1065.71,309.74,1.71,12.81,25.34,7.77
750,Quess Corp,560.1,8297.81,1.43,67.7,49.79,3979.32,33.23,13.23,14684.19,4.28,257.49,66.85,3.4,4.83,15.26,32.23
751,Cyient,756.1,8353.1,3.17,79.1,-25.78,1396.2,25.6,20.42,5010.9,16.4,492.13,90.03,2.63,11.31,27.72,16.97
752,Amara Raja Batt.,492.15,8406.54,0.91,131.45,6.06,2620,38.93,15.6,9429.96,10.96,518.76,131.45,1.85,8.34,23.46,16.21
753,Easy Trip Plann.,391.15,8499.3,0.13,33.68,114.25,83.69,167.29,65.91,285.25,54.82,125.16,33.68,35.45,25.15,31.56,67.91
754,Granules India,344.45,8552.44,0.44,145.1,79.85,1150.73,29.54,17.45,4197.03,19.56,484.55,145.1,3.29,10.12,23.98,17.65
755,Laxmi Organic,322.7,8556.74,0.22,64.88,-36.62,756.61,2.75,25.63,3104.45,10.44,218.91,64.86,6.54,12.48,26.53,39.09
756,Finolex Inds.,138.4,8587.4,1.45,-93.92,-139.95,941.13,-13.07,27.4,4730.24,10.35,386.03,-93.92,2.24,16.03,28.38,22.25
